,Date,Time,Day,Station,Delay Code,Min Delay,Min Gap,Direction,Line,Vehicle,Latitude,Longitude,Incident,Rush Hour Index,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
0,2024-01-01,02:30:00,Monday,DAVISVILLE STATION,MUI,13.0,19.0,N,YU,6051.0,43.69806,-79.39722,Injured or ill Customer (On Train) - Transported,0,-2.6,0.0,0.4,0.2,2.0,31.0
1,2024-01-01,02:36:00,Monday,FINCH STATION,MUI,24.0,30.0,S,YU,5931.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,0,-2.6,0.0,0.4,0.2,2.0,31.0
2,2024-01-02,13:46:00,Tuesday,EGLINTON STATION,MUI,3.0,8.0,N,YU,5576.0,43.70522,-79.39844,Injured or ill Customer (On Train) - Transported,0,-1.0,0.0,0.0,0.0,,40.0
3,2024-01-04,14:20:00,Thursday,YORK MILLS STATION,MUI,17.0,22.0,S,YU,5581.0,43.74462,-79.40684,Injured or ill Customer (On Train) - Transported,0,-2.7,0.0,0.0,0.0,,53.0
4,2024-01-05,19:34:00,Friday,ST GEORGE BD STATION,MUI,13.0,18.0,W,BD,5130.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,-1.8,0.0,0.0,0.0,,35.0
5,2024-01-07,15:40:00,Sunday,KENNEDY BD STATION,MUI,4.0,8.0,W,BD,5315.0,43.73228,-79.26554,Injured or ill Customer (On Train) - Transported,1,-2.7,0.0,0.4,0.4,4.0,
6,2024-01-08,17:54:00,Monday,KIPLING STATION,MUI,6.0,9.0,E,BD,5334.0,43.63795,-79.53535,Injured or ill Customer (On Train) - Transported,1,1.3,0.0,0.0,0.0,3.0,
7,2024-01-12,07:40:00,Friday,DUPONT STATION,MUI,5.0,8.0,S,YU,5561.0,43.67411,-79.40634,Injured or ill Customer (On Train) - Transported,1,1.8,9.9,5.2,15.1,5.0,66.0
8,2024-01-13,11:12:00,Saturday,BATHURST STATION,MUI,18.0,23.0,W,BD,5077.0,43.66638,-79.41164,Injured or ill Customer (On Train) - Transported,0,0.6,4.5,0.8,5.3,3.0,74.0
9,2024-01-18,16:44:00,Thursday,WOODBINE STATION,MUI,10.0,13.0,E,BD,5106.0,43.68584,-79.31512,Injured or ill Customer (On Train) - Transported,1,-6.2,0.0,0.6,0.6,3.0,32.0
10,2024-01-19,18:04:00,Friday,FINCH STATION,MUI,3.0,6.0,S,YU,5796.0,43.78066,-79.41445,Injured or ill Customer (On Train) - Transported,1,-11.0,0.0,0.0,0.0,3.0,39.0
11,2024-01-19,01:16:00,Friday,KENNEDY BD STATION,MUI,5.0,10.0,W,BD,5287.0,43.73228,-79.26554,Injured or ill Customer (On Train) - Transported,0,-11.0,0.0,0.0,0.0,3.0,39.0
12,2024-01-20,22:07:00,Saturday,BLOOR STATION,MUI,13.0,19.0,S,YU,5601.0,43.67068,-79.38533,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
13,2024-01-20,23:21:00,Saturday,KING STATION,MUI,8.0,14.0,S,YU,5971.0,43.64981,-79.37734,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
14,2024-01-20,00:09:00,Saturday,ST GEORGE YUS STATION,MUI,7.0,14.0,N,YU,6126.0,43.6683,-79.3987,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
15,2024-01-20,22:50:00,Saturday,DON MILLS STATION,MUI,7.0,14.0,W,SHP,6151.0,43.77556,-79.34655,Injured or ill Customer (On Train) - Transported,0,-11.6,0.0,0.0,0.0,2.0,51.0
16,2024-01-24,07:20:00,Wednesday,KIPLING STATION,MUI,3.0,6.0,E,BD,5160.0,43.63795,-79.53535,Injured or ill Customer (On Train) - Transported,1,1.1,8.2,0.0,8.2,3.0,
17,2024-01-24,19:29:00,Wednesday,DAVISVILLE STATION,MUI,7.0,12.0,N,YU,5631.0,43.69806,-79.39722,Injured or ill Customer (On Train) - Transported,0,1.1,8.2,0.0,8.2,3.0,
